Power before,fibr,r,,STD of power
1.413738,4.454149,,,
1.411896,4.433815,,,
1.407635,4.458247,,,
1.407364,4.467661,,,
1.410733,4.458801,,,
1.412479,4.453811,,,
1.418441,4.457637,,,
1.414757,4.452379,,,
1.413207,4.46123,,,
1.417342,4.46312,,,
1.409414,4.454257,,,
1.409952,4.449901,,,
1.411431,4.45312,,,
1.413092,4.462428,,,
1.411057,4.465171,,,
1.409864,4.473271,,,
1.408056,4.471184,,,
1.408966,4.469073,,,
1.417026,4.484742,,,
1.42191,4.482697,,,
1.421261,4.471792,,,
1.40958,4.467468,,,
1.409035,4.479002,,,
1.407022,4.482565,,,
1.410806,4.468548,,,
1.413351,4.464257,,,
1.406069,4.4682,,,
1.407102,4.47101,,,
1.410044,4.471104,,,
1.410603,4.469214,,,
1.404236,4.46664,,,
1.407576,4.465187,,,
1.412835,4.47228,,,
1.410123,4.471498,,,
1.409422,4.470936,,,
1.412209,4.472648,,,
1.407274,4.471042,,,
1.410717,4.468952,,,
1.406703,4.471483,,,
1.404997,4.469771,,,
1.410855,4.469412,,,
1.413177,4.47182,,,
1.408954,4.46868,,,
1.406211,4.472856,,,
1.407459,4.476243,,,
1.408266,4.470296,,,
1.408966,4.467242,,,
1.408557,4.473739,,,
1.406656,4.472571,,,
1.405741,4.467074,,,
1.403269,4.467344,,,
1.406896,4.472085,,,
1.409289,4.477401,,,
1.402072,4.477406,,,
1.406175,4.478964,,,
1.404345,4.47792,,,
1.402766,4.477492,,,
1.40396,4.473753,,,
1.404889,4.474281,,,
1.404242,4.477983,,,
1.405896,4.48307,,,
1.411364,4.479125,,,
1.410238,4.474216,,,
1.408583,4.484254,,,
1.406451,4.482176,,,
1.408326,4.480887,,,
1.408518,4.487798,,,
1.409485,4.485546,,,
1.400565,4.485991,,,
1.403777,4.485227,,,
1.40411,4.489023,,,
1.405635,4.484506,,,
1.408783,4.481721,,,
1.412895,4.477463,,,
1.410105,4.478699,,,
1.407321,4.483047,,,
1.405881,4.486215,,,
1.406588,4.485987,,,
1.405816,4.485842,,,
1.406473,4.487099,,,
1.40481,4.489237,,,
1.409804,4.487476,,,
1.409893,4.48731,,,
1.407757,4.495914,,,
1.407812,4.496158,,,
1.400346,4.488803,,,
1.405411,4.48556,,,
1.408751,4.491403,,,
1.416303,4.492952,,,
1.413236,4.49273,,,
1.408781,4.490102,,,
1.406501,4.486651,,,
1.406807,4.494305,,,
1.411134,4.488005,,,
1.410871,4.487288,,,
1.411761,4.485759,,,
1.406748,4.484675,,,
1.406745,4.483718,,,
1.409129,4.479856,,,
1.412318,4.473768,,,
1.417309,4.477541,,,
1.417521,4.480192,,,
1.411307,4.481739,,,
1.407705,4.484644,,,
1.40819,4.477019,,,
1.405237,4.478843,,,
1.407545,4.485583,,,
1.410289,4.490646,,,
1.408118,4.492913,,,
1.403997,4.478226,,,
1.405264,4.481019,,,
1.405497,4.481096,,,
1.403027,4.473638,,,
1.410035,4.473094,,,
1.411486,4.474091,,,
1.411583,4.471124,,,
1.407073,4.474228,,,
1.402165,4.475879,,,
1.394817,4.472916,,,
1.396602,4.474843,,,
1.400231,4.474752,,,
1.405861,4.476374,,,
1.409674,4.477702,,,
1.416243,4.477622,,,
1.408625,4.476583,,,
1.40558,4.477652,,,
1.407905,4.475563,,,
1.415181,4.473682,,,
1.408891,4.470666,,,
1.401749,4.475833,,,
1.403021,4.46952,,,
1.40144,4.474175,,,
1.409105,4.476232,,,
1.405066,4.474766,,,
1.410774,4.471441,,,
1.415149,4.46989,,,
1.413564,4.470899,,,
1.408778,4.472941,,,
1.408991,4.465394,,,
1.404623,4.460384,,,
1.411058,4.461768,,,
1.407937,4.463749,,,
1.414463,4.462953,,,
1.403011,4.464983,,,
1.411007,4.463755,,,
1.417001,4.464917,,,
1.413525,4.463204,,,
1.408374,4.463728,,,
1.404418,4.460911,,,
1.403288,4.460108,,,
1.407589,4.462305,,,
1.405355,4.464722,,,
1.407743,4.461241,,,
1.406318,4.456842,,,
1.418253,4.454744,,,
1.413609,4.448573,,,
1.407648,4.453769,,,
1.415387,4.455442,,,
1.4151,4.454145,,,
1.409631,4.464448,,,
1.407464,4.455928,,,
1.418547,4.45098,,,
1.419412,4.452085,,,
1.412339,4.452255,,,
1.403661,4.448967,,,
1.400457,4.446116,,,
1.398602,4.445102,,,
1.409216,4.447444,,,
1.405461,4.448751,,,
1.409118,4.456622,,,
1.411007,4.448312,,,
1.408423,4.452349,,,
1.408026,4.453312,,,
1.41165,4.451407,,,
1.410495,4.447972,,,
1.412225,4.447782,,,
1.406093,4.447323,,,
1.412026,4.445485,,,
1.400634,4.447012,,,
1.407021,4.446569,,,
1.410717,4.44485,,,
1.408831,4.445159,,,
1.408839,4.44326,,,
1.412062,4.441701,,,
1.40486,4.446126,,,
1.407299,4.441724,,,
1.412647,4.438716,,,
1.415729,4.436126,,,
1.411169,4.436988,,,
1.414904,4.434033,,,
1.40665,4.433723,,,
1.404228,4.430607,,,
1.407757,4.434348,,,
1.416971,4.435212,,,
1.414983,4.431617,,,
1.410085,4.430248,,,
1.401559,4.430212,,,
1.399243,4.425713,,,
1.405699,4.430959,,,
1.407365,4.436589,,,
1.409652,4.435166,,,
1.413393,4.43134,,,
1.41099,4.431,,,
1.403429,4.428821,,,
1.404937,4.425486,,,
1.404344,4.424992,,,
1.403723,4.421402,,,
1.408682,4.426755,,,
